title	sound	episodetype	episodenumber	episodedate	time	person	timestampurl	image
Ethan, WAKE UP!!!	Dan_EthanWAKEUP.mp3	H3Show	115	02-26-2025	4108	Dan	https://youtu.be/bq4Bq0KXlGE&t=4108	
How am I supposed to do the show when I'm covered in slime?!	Dan_HowAmISupposeToDoTheShowWhenImCoveredInSlime.mp3	H3Show	22	06-12-2024	7263	Dan	https://youtu.be/bnLi7oii98g&t=7263	
I have grown up with Megaman	Dan_IHaveGrownUpWithMegaMan.mp3	OTR	100	01-17-2024	1974	Dan	https://www.youtube.com/watch?v=cfZM73q7NOc&t=1974	
Put your balls in my mouth	Dan_PutYourBallsInMyMouth.mp3	OTR	62	03-01-2023	4419	Dan	https://www.youtube.com/watch?v=XH6XCtQe4NI&t=4419	
Jacket off	Dan_JacketOff.mp3	H3TV	57	11-14-2022	10361	Dan	https://youtu.be/Y0idXvAgs6Q&t=10361	
Heil Hitler	Dan_HeilHitler.mp3	OTR	40	06-22-2022	9118	Dan	https://www.youtube.com/watch?v=ue2zpTPkthg&t=9118	
Stick your funger	Dan_StickYourFunger.mp3	H3TV	19	12-06-2021	6596	Dan	https://youtu.be/Ev37IedFjMU&t=6596	
I Cant Jerk Off to This	Dan_ICantJerkOffToThis.mp3	OTR	14	10-07-2021	3165	Dan	https://www.youtube.com/watch?v=wtOzt-oLZ3Q&t=3165	
Im gonna cum	Dan_ImGonnaCum.mp3	OTR	1	05-27-2021	812	Dan	https://www.youtube.com/watch?v=JHGs0juAZX4&t=812	
I Wanna Talk About Feet	Dan_IWannaTalkAboutFeet.mp3	Podcast	181	03-11-2020	4437	Dan	https://youtu.be/_fiKPLXYttw&t=4437	
♪ DAN THE HATER!! ♪ ♪	Misc_DanTheHater.mp3	Podcast	178	02-26-2020	6514	Dan	https://youtu.be/BTDNJe8UiJE&t=6514	
So sorry to interrupt, we have to go to break	Dan_SorryToInterrupt.mp3	Podcast	148	10-08-2019	2059	Dan	https://youtu.be/NK-_XJBYv-c&t=2059	
Did Your Balls Come Out?	Dan did your balls come out.mp3	Unknown	1	05-05-2015	0	Dan	https://youtu.be/zOYZ3XMGjUM&t=0	
Ahhh, It Keeps Comin!	Dan aa aa it keeps coming.mp3	Unknown	1	05-05-2015	0	Dan	https://youtu.be/zOYZ3XMGjUM&t=0	
Katy Perry is Jewish??	Dan Katy Perry is Jewish.mp3	Unknown	1	05-05-2015	0	Dan	https://youtu.be/zOYZ3XMGjUM&t=0	
I smoke marijuana so I dont beat my wife and children	DanaWhite_ISmokeSoIDontBeatMyWifeAndChildren.mp3	Unknown	1	05-05-2015	0	Dana White	https://youtu.be/zOYZ3XMGjUM&t=0	
14 PAGES!!	DarkViper_Its14Pages.mp3	EthanKlein	38	02-10-2022	370	Dark Viper	https://youtu.be/8CcVkyFXHyw&t=370	
When are we going to dance love?	DatingAndMoney101_WhenAreWeGonnaDanceLove.mp3	H3Show	55	09-16-2024	97	Dating&Money101	https://youtu.be/Ch3WcOM4gNs&t=97	
109?!	Dating&Money_109.mp3	Unknown	1	05-05-2015	0	Dating&Money101	https://youtu.be/zOYZ3XMGjUM&t=0	
Women be Shopping	Chappelle_WomenBeShopping.mp3	Unknown	1	05-05-2015	0	Dave Chappelle	https://youtu.be/zOYZ3XMGjUM&t=0	
I missed the mark on that one	DavidDobrik_IMissedTheMarkWithThatOne.mp3	Podcast	240	03-17-2021	5146	David Dobrik	https://youtu.be/jrDi9gDSVu4&t=5146	
Shout out to his family	DavidGuetta_ShoutoutToHisFamily.mp3	AfterDark	20	01-21-2021	11231	David Guetta	https://www.youtube.com/watch?v=1G3nt39Fd0o&t=11231	
I Left that Yogurt Store and Didnt Get the Yogurt I Wanted	DemiLovato_DidntGetTheYogurtIWanted.mp3	Podcast	245	04-29-2021	4810	Demi Lovato	https://youtu.be/Htq468essmM&t=4810	
And then I had a hard time the rest of the weekend	DemiLovato_HardTimeWeekend.mp3	Podcast	245	04-29-2021	4817	Demi Lovato	https://youtu.be/Htq468essmM&t=4817	
Even if You Are Forming Memories Before 4...	Denims_RememberPast15.mp3	Unknown	1	05-05-2015	0	Denims	https://youtu.be/zOYZ3XMGjUM&t=0	
So everyone in chat has a collection of 50+ memories...	Denims_CollectionOfMemoriesAtThree.mp3	Unknown	1	05-05-2015	0	Denims	https://youtu.be/zOYZ3XMGjUM&t=0	
You have maybe 1 or 2 memories	Denims_YouHaveMaybeOneOrTwoMemories.mp3	Unknown	1	05-05-2015	0	Denims	https://youtu.be/zOYZ3XMGjUM&t=0	
Whats your argument	DennisPrager_WhatsYourArgument.mp3	Leftovers	28	10-13-2022	1221	Dennis Prager	https://www.youtube.com/watch?v=RO6LOJj_p2g&t=1221	
Hi Im Dick Tips	DickTips_HiImDickTips.mp3	Podcast	242	04-08-2021	82	Dick Tips	https://youtu.be/PcDqarjl4w0&t=82	
DRAKE	DJAkademiks_DRAKE.mp3	H3TV	7	09-07-2021	299	DJ Akademiks	https://youtu.be/d9Y0O-FtKvA&t=299	
Cappuccino	DJKhaled_Cappuccino.mp3	H3TV	86	08-07-2023	1935	DJ Khaled	https://youtu.be/8UizTBc6FP8&t=1935	
Tell em to bring out the whole ocean!	DJKhaled_TheWholeOcean.mp3	H3TV	85	07-31-2023	5171	DJ Khaled	https://youtu.be/ETvW-4y6gMw&t=5171	
GOD DID	DJKhaled_GodDid.mp3	AfterDark	91	11-25-2022	6665	DJ Khaled	https://www.youtube.com/watch?v=lUP64bI7INk&t=6665	
I love Tesler!	Trump_ILoveTeslur.mp3	H3Show	121	03-13-2025	9400	Donald Trump	https://youtu.be/Hc-F93YUWag&t=9400	
They're eating the dogs	Trump_EatingTheDogs.mp3	H3Show	55	09-16-2024	705	Donald Trump	https://youtu.be/Ch3WcOM4gNs&t=705	
He said 'no way' and I said 'way'	Trump_AndHeSaidNoWayAndISaidWay.mp3	H3Show	42	08-14-2024	7745	Donald Trump	https://youtu.be/oLWTNrvOd3c&t=7745	
